sample_id,apiary_id,hive_id,lat,lon,movement,type,region,treatment,pool_id,date_collected,date_extracted,s_region
VAR343,API012,HIV038,37.36687, -122.13496,sedentary,s,CA-B,none,p4,2019-07-11T00:00:00Z,2019-09-07T00:00:00Z,CA
VAR345,API014,HIV045,44.33222, -123.38538,migratory,m,OR-MWV,none,p5,2019-07-16T00:00:00Z,2019-09-07T00:00:00Z,OR
VAR346,API015,HIV048,44.55940, -123.28892,sedentary,s,OR-MWV,apivar,p3,2019-07-17T00:00:00Z,2019-09-07T00:00:00Z,OR
VAR348,API017,HIV056,44.05640, -124.07440,sedentary,s,OR-C,oxalic,p4,2019-07-18T00:00:00Z,2019-09-07T00:00:00Z,OR
VAR353,API029,HIV097,47.15633, -114.04050,migratory,m,MT-W,amatraz,p3,2019-07-24T00:00:00Z,2019-09-07T00:00:00Z,MT
VAR364,API011,HIV036,37.35047, -122.16418,migratory,m,CA-B,none,p3,2019-07-11T00:00:00Z,2019-09-09T00:00:00Z,CA
VAR368,API015,HIV047,44.55940, -123.28892,sedentary,s,OR-MWV,apivar,p3,2019-07-17T00:00:00Z,2019-09-09T00:00:00Z,OR
VAR369,API015,HIV049,44.55940, -123.28892,sedentary,s,OR-MWV,apivar,p3,2019-07-17T00:00:00Z,2019-09-09T00:00:00Z,OR
VAR371,API029,HIV098,47.15633, -114.04050,migratory,m,MT-W,amatraz,p4,2019-07-24T00:00:00Z,2019-09-09T00:00:00Z,MT
VAR373,API024,HIV080,47.51877, -122.38726,migratory,m,WA-PS,none,p4,2019-07-21T00:00:00Z,2019-09-09T00:00:00Z,WA
VAR375,API025,HIV082,46.91027, -113.95805,sedentary,s,MT-W,NA,p3,2019-07-23T00:00:00Z,2019-09-09T00:00:00Z,MT
VAR376,API027,HIV087,47.29002, -114.03374,migratory,m,MT-W,amatraz,p4,2019-07-24T00:00:00Z,2019-09-09T00:00:00Z,MT
VAR378,API029,HIV096,47.15633, -114.04050,migratory,m,MT-W,amatraz,p3,2019-07-24T00:00:00Z,2019-09-09T00:00:00Z,MT
