sample_id,pool,hive_id,apiary_id,type,lat,lon,region
VAR123,p3,HIV054,API016,s,44.1424,-123.92453,OR-C
VAR125,p4,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR126,p4,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR127,p2,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR128,p5,HIV097,API029,m,47.15633,-114.0405,MT-W
VAR129,p3,HIV000,API002,s,42.3779,-71.1161,MA
VAR130,p3,HIV003,API001,s,44.6476,-123.1186,OR-MWV
VAR131,p3,HIV008,API004,m,44.48783,-122.88072,OR-MWV
VAR132,p5,HIV008,API004,m,44.48783,-122.88072,OR-MWV
VAR134,p4,HIV023,API007,c,39.79929,-122.14147,CA-N
VAR135,p2,HIV035,API011,m,37.35047,-122.16418,CA-B
VAR138,p4,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR139,p5,HIV041,API013,s,37.33347,-122.17572,CA-B
VAR140,p2,HIV054,API016,s,44.1424,-123.92453,OR-C
VAR141,p2,HIV054,API016,s,44.1424,-123.92453,OR-C
VAR142,p4,HIV056,API017,s,44.0564,-124.0744,OR-C
VAR146,p3,HIV080,API024,m,47.51877,-122.38726,WA-PS
VAR147,p3,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR148,p4,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR149,p3,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR151,p3,HIV090,API027,m,47.29002,-114.03374,MT-W
VAR152,p4,HIV096,API029,m,47.15633,-114.0405,MT-W
VAR153,p4,HIV000,API002,s,42.3779,-71.1161,MA
VAR154,p3,HIV000,API002,s,42.3779,-71.1161,MA
VAR155,p5,HIV003,API001,s,44.6476,-123.1186,OR-MWV
VAR158,p4,HIV021,API007,c,39.79929,-122.14147,CA-N
VAR159,p4,HIV023,API007,c,39.79929,-122.14147,CA-N
VAR160,p4,HIV023,API007,c,39.79929,-122.14147,CA-N
VAR161,p3,HIV027,API008,c,39.77619,-122.15926,CA-N
VAR162,p4,HIV034,API011,m,37.35047,-122.16418,CA-B
VAR163,p3,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR164,p3,HIV036,API011,m,37.35047,-122.16418,CA-B
VAR165,p5,HIV054,API016,s,44.1424,-123.92453,OR-C
VAR166,p4,HIV054,API016,s,44.1424,-123.92453,OR-C
VAR167,p2,HIV056,API017,s,44.0564,-124.0744,OR-C
VAR168,p2,HIV063,API019,s,45.57613,-123.16606,OR-P
VAR169,p4,HIV078,API023,s,47.47,-122.46284,WA-PS
VAR170,p4,HIV080,API024,m,47.51877,-122.38726,WA-PS
VAR171,p3,HIV080,API024,m,47.51877,-122.38726,WA-PS
VAR172,p5,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR173,p3,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR174,p3,HIV082,API025,s,46.91027,-113.95805,MT-W
VAR175,p4,HIV087,API027,m,47.29002,-114.03374,MT-W
VAR176,p4,HIV096,API029,m,47.15633,-114.0405,MT-W
VAR177,p5,HIV002,API001,s,44.6476,-123.1186,OR-MWV
VAR178,p3,HIV003,API001,s,44.6476,-123.1186,OR-MWV
VAR179,p4,HIV012,API005,m,45.16431,-122.45376,OR-P
VAR180,p4,HIV012,API005,m,45.16431,-122.45376,OR-P
VAR181,p3,HIV012,API005,m,45.16431,-122.45376,OR-P
VAR182,p4,HIV022,API007,c,39.79929,-122.14147,CA-N
VAR183,p4,HIV023,API007,c,39.79929,-122.14147,CA-N
VAR184,p3,HIV025,API008,c,39.77619,-122.15926,CA-N
VAR185,p3,HIV027,API008,c,39.77619,-122.15926,CA-N
